curve,rank,period,regulator,tamagawa,torsion,l_value,bsd_prediction,analytic_sha
24.a5,0,4.313031294999287,1.0,2,4,0.5391262769699097,0.5391289118749109,0.9999951126624019
24.a6,0,1.0782578237498217,1.0,2,2,0.5391262769699097,0.5391289118749109,0.9999951126624019
26.a1,0,0.5155766512772945,1.0,1,1,0.5156436264514923,0.5155766512772945,1.0001299034276123
26.a2,0,1.5467299538318833,1.0,3,3,0.5156436264514923,0.5155766512772944,1.0001299034276125
26.a3,0,4.640189861495649,1.0,1,3,0.5156436264514923,0.5155766512772944,1.0001299034276125
26.b1,0,0.6209653495490554,1.0,1,1,0.6208822131156921,0.6209653495490554,0.9998661174356611
26.b2,0,4.346757446843388,1.0,7,7,0.6208822131156921,0.6209653495490555,0.9998661174356609
27.a1,0,0.5888795834284832,1.0,1,1,0.5889396965503693,0.5888795834284832,1.0001020804992695
27.a2,0,5.2999162508563495,1.0,1,3,0.5889396965503693,0.5888795834284832,1.0001020804992695
27.a3,0,1.7666387502854501,1.0,3,3,0.5889396965503693,0.5888795834284833,1.0001020804992693
27.a4,0,5.299916250856349,1.0,1,3,0.5889396965503693,0.5888795834284832,1.0001020804992695
30.a1,0,0.558658043206916,1.0,4,2,0.5590463280677795,0.558658043206916,1.0006950313623602
30.a2,0,1.117316086413832,1.0,2,2,0.5590463280677795,0.558658043206916,1.0006950313623602
30.a3,0,1.117316086413832,1.0,8,4,0.5590463280677795,0.558658043206916,1.0006950313623602
30.a4,0,3.3519482592414964,1.0,6,6,0.5590463280677795,0.5586580432069161,1.00069503136236
30.a5,0,1.6759741296207482,1.0,12,6,0.5590463280677795,0.5586580432069161,1.00069503136236
30.a6,0,3.3519482592414964,1.0,24,12,0.5590463280677795,0.5586580432069161,1.00069503136236
30.a7,0,1.117316086413832,1.0,2,2,0.5590463280677795,0.558658043206916,1.0006950313623602
30.a8,0,3.351948259241496,1.0,6,6,0.5590463280677795,0.558658043206916,1.0006950313623602
32.a1,0,2.6220575542921196,1.0,1,2,0.6555442214012146,0.6555143885730299,1.0000455105619415
32.a2,0,5.24411510858424,1.0,2,4,0.6555442214012146,0.65551438857303,1.0000455105619412
32.a3,0,5.24411510858424,1.0,2,4,0.6555442214012146,0.65551438857303,1.0000455105619412
32.a4,0,2.6220575542921196,1.0,4,4,0.6555442214012146,0.6555143885730299,1.0000455105619415
33.a1,0,2.9893565909709743,1.0,4,4,0.746911346912384,0.7473391477427436,0.9994275680169417
33.a2,0,2.9893565909709743,1.0,4,4,0.746911346912384,0.7473391477427436,0.9994275680169417
33.a3,0,2.9893565909709743,1.0,1,2,0.746911346912384,0.7473391477427436,0.9994275680169417
33.a4,0,1.4946782954854871,1.0,2,2,0.746911346912384,0.7473391477427436,0.9994275680169417
34.a1,0,1.4985544421045678,1.0,2,2,0.7498170137405396,0.7492772210522839,1.0007204178548195
34.a2,0,1.4985544421045676,1.0,2,2,0.7498170137405396,0.7492772210522838,1.0007204178548197
34.a3,0,4.495663326313704,1.0,6,6,0.7498170137405396,0.7492772210522839,1.0007204178548195
34.a4,0,4.495663326313704,1.0,6,6,0.7498170137405396,0.7492772210522839,1.0007204178548195
35.a1,0,0.7029112391349055,1.0,1,1,0.7027784585952759,0.7029112391349055,0.9998110991370788
35.a2,0,6.32620115221415,1.0,1,3,0.7027784585952759,0.7029112391349055,0.9998110991370788
35.a3,0,2.108733717404717,1.0,3,3,0.7027784585952759,0.7029112391349056,0.9998110991370787
36.a1,0,1.4021821053254544,1.0,2,2,0.7018395662307739,0.7010910526627272,1.0010676410220953
36.a2,0,4.206546315976363,1.0,6,6,0.7018395662307739,0.7010910526627271,1.0010676410220956
36.a3,0,1.402182105325454,1.0,2,2,0.7018395662307739,0.701091052662727,1.0010676410220956
36.a4,0,4.206546315976363,1.0,6,6,0.7018395662307739,0.7010910526627271,1.0010676410220956
37.b1,0,0.7256810619361527,1.0,1,1,0.7257177233695984,0.7256810619361527,1.0000505200360994
37.b2,0,2.1770431858084582,1.0,3,3,0.7257177233695984,0.7256810619361528,1.0000505200360994
37.b3,0,6.531129557425374,1.0,1,3,0.7257177233695984,0.7256810619361527,1.0000505200360994
38.a1,0,0.6302107433140994,1.0,1,1,0.6303412020206451,0.6302107433140994,1.0002070080650476
38.a2,0,5.671896689826895,1.0,1,3,0.6303412020206451,0.6302107433140995,1.0002070080650476
38.a3,0,1.8906322299422986,1.0,3,3,0.6303412020206451,0.6302107433140995,1.0002070080650476
38.b1,0,0.8192456330551036,1.0,1,1,0.8192455768585205,0.8192456330551036,0.9999999314044765
38.b2,0,4.096228165275518,1.0,5,5,0.8192455768585205,0.8192456330551036,0.9999999314044765
39.a1,0,1.6533757013467711,1.0,2,2,0.8268722295761108,0.8266878506733856,1.0002230332798228
39.a2,0,3.3067514026935427,1.0,4,4,0.8268722295761108,0.8266878506733857,1.0002230332798225
39.a3,0,3.3067514026935423,1.0,4,4,0.8268722295761108,0.8266878506733856,1.0002230332798228
39.a4,0,3.3067514026935423,1.0,1,2,0.8268722295761108,0.8266878506733856,1.0002230332798228
40.a1,0,1.4844124734223862,1.0,2,2,0.7422811388969421,0.7422062367111931,1.0001009182920382
40.a2,0,2.9688249468447725,1.0,4,4,0.7422811388969421,0.7422062367111931,1.0001009182920382
40.a3,0,5.937649893689545,1.0,2,4,0.7422811388969421,0.7422062367111931,1.0001009182920382
40.a4,0,1.4844124734223862,1.0,8,4,0.7422811388969421,0.7422062367111931,1.0001009182920382
42.a1,0,3.475447457496819,1.0,4,4,0.8687587976455688,0.8688618643742048,0.9998813773134005
42.a2,0,0.8688618643742049,1.0,4,2,0.8687587976455688,0.8688618643742049,0.9998813773134004
42.a3,0,1.7377237287484097,1.0,8,4,0.8687587976455688,0.8688618643742049,0.9998813773134004
42.a4,0,3.4754474574968195,1.0,16,8,0.8687587976455688,0.8688618643742049,0.9998813773134004
42.a5,0,3.47544745749682,1.0,16,8,0.8687587976455688,0.868861864374205,0.9998813773134002
42.a6,0,0.8688618643742049,1.0,4,2,0.8687587976455688,0.8688618643742049,0.9998813773134004
44.a1,0,0.804646287574652,1.0,1,1,0.8047428727149963,0.804646287574652,1.0001200342831824
44.a2,0,2.4139388627239553,1.0,3,3,0.8047428727149963,0.8046462875746517,1.0001200342831826
45.a1,0,1.8431817532792631,1.0,2,2,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a2,0,1.8431817532792631,1.0,8,4,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a3,0,0.9215908766396316,1.0,4,2,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a4,0,0.9215908766396316,1.0,4,2,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a5,0,1.8431817532792631,1.0,8,4,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a6,0,1.8431817532792631,1.0,8,4,0.922002911567688,0.9215908766396316,1.0004470909364456
45.a7,0,1.843181753279263,1.0,2,2,0.922002911567688,0.9215908766396315,1.0004470909364456
45.a8,0,0.9215908766396315,1.0,4,2,0.922002911567688,0.9215908766396315,1.0004470909364456
46.a1,0,1.3218082226479433,1.0,2,2,0.6612774133682251,0.6609041113239716,1.0005648354093388
46.a2,0,1.3218082226479433,1.0,2,2,0.6612774133682251,0.6609041113239716,1.0005648354093388
48.a1,0,3.371500709625192,1.0,4,4,0.8428483009338379,0.842875177406298,0.9999681133420694
48.a2,0,1.6857503548125958,1.0,2,2,0.8428483009338379,0.8428751774062979,0.9999681133420696
48.a3,0,3.371500709625192,1.0,16,8,0.8428483009338379,0.842875177406298,0.9999681133420694
48.a4,0,3.371500709625192,1.0,4,4,0.8428483009338379,0.842875177406298,0.9999681133420694
48.a5,0,3.371500709625192,1.0,1,2,0.8428483009338379,0.842875177406298,0.9999681133420694
48.a6,0,1.685750354812596,1.0,32,8,0.8428483009338379,0.842875177406298,0.9999681133420694
49.a1,0,1.9333117056168114,1.0,2,2,0.9673961400985718,0.9666558528084057,1.0007658230051732
49.a2,0,1.9333117056168114,1.0,2,2,0.9673961400985718,0.9666558528084057,1.0007658230051732
49.a3,0,1.9333117056168114,1.0,2,2,0.9673961400985718,0.9666558528084057,1.0007658230051732
49.a4,0,1.9333117056168114,1.0,2,2,0.9673961400985718,0.9666558528084057,1.0007658230051732
50.a1,0,0.7131649814282968,1.0,1,1,0.7133486866950989,0.7131649814282968,1.0002575915413487
